symbol,year,quarter,total_operating_expenses,gross_profit,operating_income,net_income,cost_of_revenue
NVDA,2022,3,5405000000,12476000000,7071000000,6749000000,6795000000
NVDA,2022,2,3444000000,7844000000,4400000000,4285000000,4324000000
NVDA,2022,1,1673000000,3629000000,1956000000,1912000000,2032000000
NVDA,2021,3,4215000000,7240000000,3025000000,2875000000,4432000000
NVDA,2020,2,2652000000,4279000000,1627000000,1539000000,2667000000
NVDA,2020,1,1028000000,2004000000,976000000,917000000,1076000000
NVDA,2020,3,2897000000,4753000000,1856000000,1845000000,3060000000
NVDA,2020,2,1908000000,2837000000,929000000,947000000,1962000000
NVDA,2020,1,938000000,1296000000,358000000,394000000,924000000
NVDA,2019,3,2454000000,5964000000,3510000000,3575000000,3547000000
NVDA,2019,2,1591000000,4043000000,2452000000,2345000000,2287000000
NVDA,2019,1,773000000,2068000000,1295000000,1244000000,1139000000
NVDA,2018,3,1884000000,4021000000,2137000000,1928000000,2782000000
NVDA,2018,2,1210000000,2452000000,1242000000,1091000000,1715000000
NVDA,2018,1,596000000,1150000000,554000000,507000000,787000000
NVDA,2017,3,1559000000,2760000000,1201000000,1012000000,1977000000
NVDA,2017,2,1016000000,1577000000,561000000,449000000,1156000000
NVDA,2017,1,506000000,751000000,245000000,196000000,554000000
NVDA,2016,3,1525000000,2020000000,495000000,406000000,1589000000
NVDA,2016,2,1036000000,1286000000,250000000,160000000,1018000000
NVDA,2016,1,477000000,653000000,176000000,134000000,498000000
NVDA,2015,3,1372021000,1899874000,527853000,437459000,1531119000
NVDA,2015,2,908638000,1223176000,314538000,264492000,982435000
NVDA,2015,1,452843000,604202000,151359000,136516000,498585000
NVDA,2014,3,1319218000,1648521000,329303000,293073000,1337423000
NVDA,2014,2,875791000,1064106000,188315000,174339000,867871000
NVDA,2014,1,435787000,518568000,82781000,77891000,436171000
NVDA,2013,3,1176075000,1640741000,464666000,388563000,1532516000
NVDA,2013,2,791634000,1004083000,212449000,179483000,965064000
NVDA,2013,1,390538000,463364000,72826000,60437000,461513000
NVDA,2012,3,1040522000,1566504000,525982000,465065000,1478232000
NVDA,2012,2,680895000,1009787000,328892000,286792000,968769000
NVDA,2012,1,329641000,484503000,154862000,135219000,477536000
NVDA,2011,3,906762000,982731000,75969000,81495000,1674202000
NVDA,2011,2,618483000,590669000,-27814000,-3367000,1222352000
NVDA,2011,1,308984000,456377000,147393000,137594000,545436000
GOOG,2015,3,"","",13980000000,"",19976000000
GOOG,2015,2,"","",9272000000,7446000000,12939000000
GOOG,2015,1,"","",4447000000,3586000000,6356000000
GOOG,2014,3,"","",12097000000,9687000000,18770000000
GOOG,2014,2,"","",8373000000,"",12075000000
GOOG,2014,1,"","",4115000000,"",5961000000
GOOG,2013,3,"","","",9544000000,""
GOOG,2013,2,"","",6600000000,6574000000,""
GOOG,2013,1,"","",3477000000,"",""
GOOG,2012,3,"","","","",""
GOOG,2012,2,"","","","",""
GOOG,2012,1,"","","","",""
GOOG,2011,3,19087000000,"",8235000000,"",""
GOOG,2011,2,12424000000,"",5178000000,"",""
GOOG,2011,1,6279000000,"",2296000000,"",""
GOOG,2010,3,13482000000,"",7399000000,"",""
GOOG,2010,2,8742000000,"",4853000000,"",""
GOOG,2010,1,4287000000,"",2488000000,1955000000,""
AAPL,2022,1,12755000000,54243000000,41488000000,34630000000,69702000000
AAPL,2021,3,32499000000,117662000000,85163000000,74129000000,164795000000
AAPL,2021,2,21370000000,82407000000,61037000000,"",118616000000
AAPL,2021,1,10794000000,44328000000,33534000000,"",67111000000
AAPL,2020,3,"",80267000000,51513000000,"",129550000000
AAPL,2020,2,"",57587000000,38422000000,33485000000,92545000000
AAPL,2020,1,"",35217000000,25569000000,22236000000,56602000000
AAPL,2019,3,"",74079000000,48305000000,41570000000,122055000000
AAPL,2019,2,"",53852000000,36761000000,31526000000,88473000000
AAPL,2019,1,"",32031000000,23346000000,"",52279000000
AAPL,2018,3,"",77755000000,54780000000,45406000000,124940000000
AAPL,2018,2,"",57334000000,42168000000,33887000000,92096000000
AAPL,2018,1,"",33912000000,26274000000,"",54381000000
AAPL,2017,3,"",68255000000,48224000000,37637000000,108400000000
AAPL,2017,2,"",50767000000,37456000000,28920000000,80480000000
AAPL,2017,1,"",30176000000,23359000000,17891000000,48175000000
AAPL,2016,3,"",66450000000,48263000000,36673000000,102337000000
AAPL,2016,2,"","","","",""
AAPL,2016,1,"","","","",""
AAPL,2015,3,"","","","",""
AAPL,2015,2,"","","","",""
AAPL,2015,1,"","","","",""
AAPL,2014,3,"","","","",""
AAPL,2014,2,"","","","",""
AAPL,2014,1,"","","","",""
AAPL,2013,3,"","","","",""
AAPL,2013,2,"","","","",""
AAPL,2013,1,"","","","",""
AAPL,2012,3,"","","","",""
AAPL,2012,2,"","","","",""
AAPL,2012,1,"","","","",""
AAPL,2011,3,7358000000,32438000000,25080000000,19299000000,""
AAPL,2011,2,4815000000,20516000000,15701000000,11991000000,""
AAPL,2011,1,2471000000,10298000000,"",6004000000,""
AAPL,2010,3,5234000000,18172000000,12938000000,9705000000,""
AAPL,2010,2,3332000000,12036000000,8704000000,6452000000,17146000000
AMZN,2021,2,105378000000,"",7702000000,7778000000,64176000000
AMZN,2021,1,99653000000,"",8865000000,8107000000,62403000000
AMZN,2020,3,89951000000,"",6194000000,6331000000,57106000000
AMZN,2020,2,83069000000,"",5843000000,5243000000,52660000000
AMZN,2020,1,71463000000,"",3989000000,"",44257000000
AMZN,2019,3,"","",3157000000,2134000000,41302000000
AMZN,2019,2,60320000000,"",3084000000,"",36337000000
AMZN,2019,1,55280000000,"",4420000000,3561000000,33920000000
AMZN,2018,3,"","",3724000000,2883000000,33003000000
AMZN,2018,2,49903000000,"",2983000000,2534000000,30632000000
AMZN,2018,1,"","",1927000000,1629000000,30735000000
AMZN,2017,3,43397000000,"",347000000,256000000,27549000000
AMZN,2017,2,37327000000,"",628000000,197000000,23451000000
AMZN,2017,1,34709000000,"",1005000000,724000000,22440000000
AMZN,2016,3,32139000000,"",575000000,252000000,21260000000
AMZN,2016,2,29119000000,"",1285000000,857000000,19180000000
AMZN,2016,1,"","",1071000000,513000000,18866000000
AMZN,2015,3,24952000000,"","",79000000,16755000000
AMZN,2015,2,22721000000,"","",92000000,15160000000
AMZN,2015,1,22462000000,"","",-57000000,15395000000
AMZN,2014,3,"","","",-437000000,14627000000
AMZN,2014,2,"","","",-126000000,13399000000
AMZN,2014,1,"","",146000000,108000000,14055000000
AMZN,2013,3,17117000000,"","",-41000000,12366000000
AMZN,2013,2,"","","","",""
AMZN,2013,1,"","","","",""
AMZN,2012,3,"","","","",""
AMZN,2012,2,"","","","",""
AMZN,2012,1,"","","","",""
AMZN,2011,3,10797000000,"",79000000,63000000,8325000000
AMZN,2011,2,9712000000,"",201000000,191000000,7525000000
AMZN,2011,1,9535000000,"",322000000,201000000,7608000000
AMZN,2010,3,7292000000,"",268000000,231000000,5786000000
AMZN,2010,2,6296000000,"",270000000,207000000,4957000000
AMZN,2010,1,6737000000,"",394000000,299000000,5501000000
FB,2021,2,31503000000,"",23745000000,19892000000,10530000000
FB,2021,1,14793000000,"",11378000000,"",5131000000
FB,2020,3,"","",19896000000,17927000000,11482000000
FB,2020,2,"","",11856000000,10081000000,7288000000
FB,2020,1,"","",5893000000,4902000000,3459000000
FB,2019,3,"","",15128000000,"",9279000000
FB,2019,2,"","",7943000000,5045000000,6123000000
FB,2019,1,"","",3317000000,"",2816000000
FB,2018,3,"","",17093000000,15230000000,6559000000
FB,2018,2,"","",11313000000,10093000000,4141000000
FB,2018,1,"","",5449000000,4988000000,1927000000
