date,test_value,predicted_value
2018-09-28,235.6434644,223.95729
2018-09-27,235.4622933,223.99356
2018-09-26,234.4234377,224.02899
2018-09-25,234.8293493,224.06355
2018-09-24,234.5082879,224.09729
2018-09-21,233.7904936,223.87982
2018-09-20,234.3339999,223.91635
2018-09-19,233.9533145,223.95201
2018-09-18,233.9235043,223.9868
2018-09-17,233.840946,224.02075
2018-09-14,235.2077391,223.80222
2018-09-13,235.7971138,223.83897
2018-09-12,234.572503,223.87488
2018-09-11,235.2100346,223.90993
2018-09-10,233.944143,223.9441
2018-09-07,234.6252475,223.72449
2018-09-06,235.0380386,223.76149
2018-09-05,235.9026027,223.79762
2018-09-04,236.2443027,223.8329
2018-08-31,236.0768943,223.64665
2018-08-30,235.48064,223.68387
2018-08-29,235.0105169,223.72025
2018-08-28,234.2583212,223.75577
2018-08-27,233.8547052,223.7904
2018-08-24,233.4465016,223.56865
2018-08-23,233.2928522,223.60614
2018-08-22,233.1919473,223.64273
2018-08-21,233.1896518,223.67848
2018-08-20,233.2859727,223.71338
2018-08-17,233.7721469,223.49054
2018-08-16,232.7952108,223.52826
2018-08-15,232.0888801,223.56511
2018-08-14,231.9765081,223.60109
2018-08-13,231.7746983,223.63623
2018-08-10,231.4673996,223.41231
2018-08-09,231.7769938,223.45026
2018-08-08,231.4031881,223.48734
2018-08-07,231.3710823,223.52356
2018-08-06,231.8205667,223.55893
2018-08-03,231.572892,223.33394
2018-08-02,231.4352938,223.37215
2018-08-01,230.0845519,223.40947
2018-07-31,227.5137833,223.4459
2018-07-30,227.426641,223.48152
2018-07-27,227.6720201,223.25545
2018-07-26,228.4127522,223.2939
2018-07-25,228.5526424,223.33144
2018-07-24,228.1352637,223.36815
2018-07-23,227.8164979,223.40398
2018-07-20,227.7775126,223.17686
2018-07-19,227.8784175,223.21552
2018-07-18,227.5390095,223.25331
2018-07-17,227.7798046,223.29022
2018-07-16,227.655969,223.3263
2018-07-13,227.7522864,223.09811
2018-07-12,227.6834872,223.13702
2018-07-11,226.9611054,223.17503
2018-07-10,227.5275459,223.2122
2018-07-09,227.5802903,223.2485
2018-07-06,226.9817441,223.01924
2018-07-05,226.3923694,223.05838
2018-07-03,226.0529649,223.13408
2018-07-02,226.800573,223.17061
8.597159452,,
