date,test_value,predicted_value
2018-09-28,2089.620685,2117.357
2018-09-27,2091.598004,2117.54
2018-09-26,2084.043362,2117.7188
2018-09-25,2083.983937,2117.8933
2018-09-24,2076.021139,2118.0632
2018-09-21,2072.187356,2114.3015
2018-09-20,2077.990549,2114.491
2018-09-19,2074.44801,2114.676
2018-09-18,2077.346631,2114.8564
2018-09-17,2070.804423,2115.0327
2018-09-14,2083.120076,2111.221
2018-09-13,2087.019256,2111.4167
2018-09-12,2087.045014,2111.608
2018-09-11,2086.480352,2111.7947
2018-09-10,2076.942441,2111.977
2018-09-07,2079.529987,2108.116
2018-09-06,2080.766332,2108.318
2018-09-05,2087.999983,2108.5154
2018-09-04,2096.85436,2108.7083
2018-08-31,2091.544505,2104.9873
2018-08-30,2089.497846,2105.1953
2018-08-29,2088.64985,2105.399
2018-08-28,2075.716013,2105.5981
2018-08-27,2074.697653,2105.7927
2018-08-24,2070.28136,2101.835
2018-08-23,2069.788022,2102.0493
2018-08-22,2070.184279,2102.259
2018-08-21,2065.928482,2102.4644
2018-08-20,2064.599023,2102.665
2018-08-17,2065.690713,2098.66
2018-08-16,2066.542676,2098.8804
2018-08-15,2065.76997,2099.0964
2018-08-14,2073.106675,2099.308
2018-08-13,2068.460546,2099.5151
2018-08-10,2066.499093,2095.4631
2018-08-09,2068.920218,2095.69
2018-08-08,2066.542676,2095.9119
2018-08-07,2061.779658,2096.1296
2018-08-06,2058.861228,2096.3428
2018-08-03,2054.015012,2092.245
2018-08-02,2056.202334,2092.4778
2018-08-01,2048.839895,2092.7063
2018-07-31,2044.930798,2092.9297
2018-07-30,2045.283473,2093.149
2018-07-27,2052.822274,2089.0063
2018-07-26,2050.985618,2089.245
2018-07-25,2062.003544,2089.4795
2018-07-24,2055.193867,2089.7092
2018-07-23,2049.796847,2089.9346
2018-07-20,2052.114941,2085.748
2018-07-19,2051.970311,2085.993
2018-07-18,2057.904276,2086.2334
2018-07-17,2058.104388,2086.469
2018-07-16,2053.856499,2086.7002
2018-07-13,2051.982211,2082.4707
2018-07-12,2048.730915,2082.7217
2018-07-11,2040.484805,2082.968
2018-07-10,2038.121121,2083.21
2018-07-09,2037.318715,2083.4468
2018-07-06,2031.693843,2079.1758
2018-07-05,2029.534237,2079.4324
2018-07-03,2028.391031,2079.9324
2018-07-02,2032.317952,2080.1753
34.78554966,,
