date,test_value,predicted_value
2018-07-02,45.44725869,45.22235
2018-07-03,45.43522206,45.222206
2018-07-05,45.42576521,45.221916
2018-07-06,45.4386611,45.221764
2018-07-09,45.43522206,45.227085
2018-07-10,45.45155732,45.226936
2018-07-11,45.4266248,45.22678
2018-07-12,45.51345864,45.226627
2018-07-13,45.35870533,45.22647
2018-07-16,45.42060665,45.231777
2018-07-17,45.40685084,45.23162
2018-07-18,45.39567414,45.231457
2018-07-19,45.41200939,45.2313
2018-07-20,45.37847929,45.231136
2018-07-23,45.38277825,45.236423
2018-07-24,45.41114947,45.236263
2018-07-25,45.47734943,45.2361
2018-07-26,45.50915968,45.235935
2018-07-27,45.4266248,45.235767
2018-07-30,45.3922351,45.241035
2018-07-31,45.40255221,45.24087
2018-08-01,45.3655834,45.2407
2018-08-02,45.42318577,45.24053
2018-08-03,45.4489782,45.240356
2018-08-06,45.48938572,45.24561
2018-08-07,45.51345864,45.245438
2018-08-08,45.53581171,45.24526
2018-08-09,45.53065316,45.245083
2018-08-10,45.53065316,45.244904
2018-08-13,45.52807405,45.250145
2018-08-14,45.54956753,45.249966
2018-08-15,45.53753123,45.249783
2018-08-16,45.64929726,45.2496
2018-08-17,45.71033866,45.249416
2018-08-20,45.74042973,45.25464
2018-08-21,45.70260099,45.254456
2018-08-22,45.72065577,45.254265
2018-08-23,45.72323488,45.254078
2018-08-24,45.74902699,45.253887
2018-08-27,45.77223999,45.259098
2018-08-28,45.80319065,45.258907
2018-08-29,45.84875672,45.258713
2018-08-30,45.8203855,45.258522
2018-08-31,45.87368923,45.258324
2018-09-04,45.8702502,45.26332
2018-09-05,45.83070227,45.263123
2018-09-06,45.83156187,45.262924
2018-09-07,45.81178791,45.262722
2018-09-10,45.81350743,45.2679
2018-09-11,45.81006839,45.2677
2018-09-12,45.79803209,45.267498
2018-09-13,45.82812316,45.26729
2018-09-14,45.84187898,45.267082
2018-09-17,45.81694646,45.272247
2018-09-18,45.8470372,45.27204
2018-09-19,45.83156187,45.27183
2018-09-20,45.8702502,45.27162
2018-09-21,45.94160871,45.27141
2018-09-24,45.9312916,45.276558
2018-09-25,45.93387104,45.276344
2018-09-26,45.92871249,45.27613
2018-09-27,45.92183474,45.275917
2018-09-28,45.94934637,45.2757
0.425211306,,
