date,test_value,predicted_value
2018-09-28,205.4114528,212.12457
2018-09-27,206.8218868,212.11256
2018-09-26,206.2132736,212.10016
2018-09-25,205.5563598,212.08728
2018-09-24,205.7173686,212.07382
2018-09-21,204.9187613,212.06657
2018-09-20,205.9137996,212.05441
2018-09-19,204.9606252,212.04184
2018-09-18,204.0718582,212.02878
2018-09-17,204.1620228,212.01509
2018-09-14,204.7223353,212.00806
2018-09-13,204.4131962,211.99574
2018-09-12,204.6192873,211.98299
2018-09-11,205.8880376,211.96976
2018-09-10,205.3212834,211.95586
2018-09-07,204.9541835,211.94902
2018-09-06,204.7899562,211.93655
2018-09-05,206.2873363,211.92363
2018-09-04,207.5689701,211.91017
2018-08-31,209.0405882,211.88945
2018-08-30,209.6556431,211.87682
2018-08-29,209.0953306,211.86371
2018-08-28,209.2112572,211.85007
2018-08-27,209.5976823,211.83572
2018-08-24,208.6928085,211.82936
2018-08-23,208.1292777,211.81654
2018-08-22,208.3675725,211.80327
2018-08-21,208.0391131,211.78941
2018-08-20,208.0004726,211.77484
2018-08-17,208.4190965,211.76872
2018-08-16,208.7089104,211.75574
2018-08-15,210.2642562,211.74228
2018-08-14,210.7730447,211.72821
2018-08-13,210.4317068,211.71341
2018-08-10,210.4993277,211.70755
2018-08-09,211.4106383,211.6944
2018-08-08,212.083654,211.68073
2018-08-07,211.6424914,211.66646
2018-08-06,212.2478861,211.6514
2018-08-03,209.7007254,211.64581
2018-08-02,209.2466793,211.63246
2018-08-01,207.7267556,211.61862
2018-07-31,208.0262346,211.60411
2018-07-30,207.5367664,211.58882
2018-07-27,208.7700945,211.58354
2018-07-26,209.2112572,211.57002
2018-07-25,222.4912667,211.55597
2018-07-24,221.5799562,211.54123
2018-07-23,220.3691716,211.52567
2018-07-20,220.0568141,211.52069
2018-07-19,219.4610795,211.507
2018-07-18,219.8700433,211.49272
2018-07-17,220.072916,211.47777
2018-07-16,219.1841441,211.46193
2018-07-13,219.2131294,211.45729
2018-07-12,219.0843194,211.44339
2018-07-11,217.6738805,211.42891
2018-07-10,217.9958982,211.41371
2018-07-09,218.3823233,211.39763
2018-07-06,217.8960735,211.39333
2018-07-05,216.3568295,211.37923
2018-07-03,214.5148882,211.34908
2018-07-02,216.0058315,211.33272
5.674965993,,
