date,test_value,predicted_value
2018-09-28,1271.113219,1268.0859
2018-09-27,1271.297934,1268.0071
2018-09-26,1269.064072,1267.9279
2018-09-25,1269.720816,1267.8483
2018-09-24,1267.94004,1267.7682
2018-09-21,1266.790743,1267.676
2018-09-20,1270.071282,1267.5964
2018-09-19,1267.580092,1267.5164
2018-09-18,1266.021918,1267.436
2018-09-17,1265.205743,1267.3551
2018-09-14,1267.807435,1267.2642
2018-09-13,1268.249458,1267.1837
2018-09-12,1266.274506,1267.1029
2018-09-11,1268.569939,1267.0215
2018-09-10,1266.56184,1266.94
2018-09-07,1266.591826,1266.8501
2018-09-06,1267.635343,1266.7689
2018-09-05,1270.009711,1266.6873
2018-09-04,1271.670504,1266.6052
2018-08-31,1275.015756,1266.4341
2018-08-30,1278.319979,1266.352
2018-08-29,1279.927102,1266.2695
2018-08-28,1277.061762,1266.1866
2018-08-27,1278.74622,1266.1031
2018-08-24,1275.404129,1266.0159
2018-08-23,1272.993454,1265.933
2018-08-22,1273.301292,1265.8497
2018-08-21,1272.399862,1265.7659
2018-08-20,1273.370765,1265.6816
2018-08-17,1272.295662,1265.5957
2018-08-16,1273.168687,1265.512
2018-08-15,1274.414282,1265.4277
2018-08-14,1278.790428,1265.3431
2018-08-13,1277.671137,1265.258
2018-08-10,1278.081594,1265.1733
2018-08-09,1279.895517,1265.0887
2018-08-08,1279.344553,1265.0038
2018-08-07,1278.809372,1264.9182
2018-08-06,1276.054552,1264.8323
2018-08-03,1275.8872,1264.7489
2018-08-02,1276.272413,1264.6635
2018-08-01,1275.30309,1264.5776
2018-07-31,1274.868948,1264.4912
2018-07-30,1275.260462,1264.4043
2018-07-27,1278.222101,1264.3224
2018-07-26,1282.93135,1264.2361
2018-07-25,1282.200412,1264.1493
2018-07-24,1279.734487,1264.062
2018-07-23,1273.012397,1263.9744
2018-07-20,1269.761864,1263.8938
2018-07-19,1270.085485,1263.8065
2018-07-18,1271.493691,1263.719
2018-07-17,1271.954677,1263.6307
2018-07-16,1269.596093,1263.5422
2018-07-13,1270.379121,1263.463
2018-07-12,1269.536101,1263.375
2018-07-11,1264.866319,1263.2864
2018-07-10,1264.698968,1263.1974
2018-07-09,1264.890004,1263.1078
2018-07-06,1262.69877,1263.0302
2018-07-05,1260.188636,1262.9412
2018-07-03,1256.813379,1262.7618
2018-07-02,1260.692232,1262.6714
8.604671574,,
