date,test_value,predicted_value
2018-09-28,147.8404219,147.51187
2018-09-27,147.8573464,147.51932
2018-09-26,147.8637662,147.5268
2018-09-25,147.7061901,147.53426
2018-09-24,147.7715548,147.54173
2018-09-21,147.8485925,147.50726
2018-09-20,147.8369195,147.51472
2018-09-19,147.714944,147.52219
2018-09-18,147.6857632,147.52965
2018-09-17,147.6495793,147.53712
2018-09-14,147.6723403,147.50262
2018-09-13,147.7085242,147.51007
2018-09-12,147.5696243,147.51753
2018-09-11,147.5649552,147.525
2018-09-10,147.5159308,147.53247
2018-09-07,147.5042587,147.49794
2018-09-06,147.5591187,147.5054
2018-09-05,147.5748766,147.51286
2018-09-04,147.5176816,147.52032
2018-08-31,147.564371,147.49324
2018-08-30,147.532272,147.50069
2018-08-29,147.6262342,147.50815
2018-08-28,147.5707909,147.51561
2018-08-27,147.5766274,147.52309
2018-08-24,147.5386918,147.4885
2018-08-23,147.4995897,147.49594
2018-08-22,147.4920033,147.5034
2018-08-21,147.534607,147.51088
2018-08-20,147.5661218,147.51834
2018-08-17,147.5398593,147.48372
2018-08-16,147.4978389,147.49117
2018-08-15,147.4143823,147.49863
2018-08-14,147.3822832,147.5061
2018-08-13,147.3443485,147.51357
2018-08-10,147.4476479,147.47891
2018-08-09,147.4645732,147.48636
2018-08-08,147.5882995,147.49382
2018-08-07,147.5953026,147.50128
2018-08-06,147.5381085,147.50876
2018-08-03,147.6355722,147.47408
2018-08-02,147.3589389,147.48152
2018-08-01,147.3904538,147.48898
2018-07-31,147.4739104,147.49644
2018-07-30,147.5065937,147.50392
2018-07-27,147.48675,147.46921
2018-07-26,147.5777948,147.47665
2018-07-25,147.5725416,147.48412
2018-07-24,147.5585354,147.49158
2018-07-23,147.5188491,147.49905
2018-07-20,147.5567846,147.4643
2018-07-19,147.7254496,147.47176
2018-07-18,147.4499829,147.4792
2018-07-17,147.3898705,147.48666
2018-07-16,147.5048429,147.49414
2018-07-13,147.5305212,147.45938
2018-07-12,147.5626203,147.46681
2018-07-11,147.4744946,147.47427
2018-07-10,147.4610717,147.48174
2018-07-09,147.4423956,147.48921
2018-07-06,147.3309247,147.4544
2018-07-05,147.2696449,147.46185
2018-07-03,147.1610932,147.47678
2018-07-02,147.1780177,147.48424
0.144652243,,
