date,test_value,predicted_value
2018-07-02,227.2046562,226.78632
2018-07-03,227.1225721,226.82161
2018-07-05,227.1587856,226.89203
2018-07-06,227.5317807,226.92715
2018-07-09,227.4810825,226.9232
2018-07-10,227.5692025,226.9583
2018-07-11,227.6573207,226.99332
2018-07-12,228.2041392,227.02832
2018-07-13,228.2029328,227.06323
2018-07-16,228.2934657,227.05934
2018-07-17,228.5372996,227.09422
2018-07-18,228.7582001,227.12906
2018-07-19,228.4781526,227.16383
2018-07-20,228.3924473,227.1986
2018-07-23,228.6471466,227.1947
2018-07-24,228.4552173,227.2294
2018-07-25,228.6302472,227.26404
2018-07-26,228.5566137,227.29865
2018-07-27,228.0339369,227.33318
2018-07-30,226.8714939,227.32933
2018-07-31,227.0598039,227.36383
2018-08-01,227.0622168,227.39827
2018-08-02,227.2396614,227.43268
2018-08-03,227.1696491,227.46704
2018-08-06,227.4509049,227.46323
2018-08-07,227.6923259,227.49751
2018-08-08,227.7599235,227.53178
2018-08-09,227.8987417,227.566
2018-08-10,227.8770129,227.60017
2018-08-13,227.7031913,227.59637
2018-08-14,227.8383865,227.6305
2018-08-15,227.6911195,227.66458
2018-08-16,227.7176759,227.69861
2018-08-17,227.5003966,227.73259
2018-08-20,227.4412478,227.7288
2018-08-21,227.6355918,227.76276
2018-08-22,227.7176759,227.79663
2018-08-23,228.0508363,227.83046
2018-08-24,228.5554073,227.86427
2018-08-27,227.9928958,227.86052
2018-08-28,228.4709084,227.89427
2018-08-29,228.7087083,227.92798
2018-08-30,228.7968283,227.96164
2018-08-31,228.8982248,227.99525
2018-09-04,229.0515276,228.02509
2018-09-05,228.8040707,228.05862
2018-09-06,228.9453018,228.09209
2018-09-07,229.0008294,228.1255
2018-09-10,229.531955,228.1218
2018-09-11,229.6888791,228.1552
2018-09-12,229.6478361,228.18854
2018-09-13,229.9013289,228.2218
2018-09-14,229.8723578,228.25505
2018-09-17,229.6224879,228.2514
2018-09-18,229.9496124,228.28459
2018-09-19,229.068427,228.31772
2018-09-20,229.1372311,228.35083
2018-09-21,229.0153141,228.38387
2018-09-24,228.8294189,228.38026
2018-09-25,229.1987946,228.41327
2018-09-26,229.2253493,228.44621
2018-09-27,229.3026058,228.47914
2018-09-28,229.8554584,228.512
0.896707487,,
