date,test_value,predicted_value
2018-09-28,408.4846291,415.46414
2018-09-27,410.1030584,415.43604
2018-09-26,409.4069881,415.40787
2018-09-25,407.3286028,415.37967
2018-09-24,407.3728742,415.35138
2018-09-21,405.301875,415.3275
2018-09-20,406.327534,415.29916
2018-09-19,406.7210754,415.2708
2018-09-18,406.89079,415.2424
2018-09-17,402.6356435,415.21393
2018-09-14,406.1307671,415.18982
2018-09-13,407.0137712,415.16125
2018-09-12,407.4565081,415.1327
2018-09-11,404.0081104,415.10406
2018-09-10,402.1584758,415.07535
2018-09-07,402.224883,415.0511
2018-09-06,401.6788461,415.02234
2018-09-05,400.3801649,414.99353
2018-09-04,405.8946453,414.9647
2018-08-31,406.8981686,414.91135
2018-08-30,407.709849,414.88232
2018-08-29,406.986719,414.85333
2018-08-28,407.0973976,414.82425
2018-08-27,406.1356837,414.79517
2018-08-24,404.7189453,414.7705
2018-08-23,399.8857856,414.74133
2018-08-22,401.1820048,414.71204
2018-08-21,399.6029228,414.68274
2018-08-20,397.0719751,414.6534
2018-08-17,394.3786838,414.6286
2018-08-16,395.7708319,414.59918
2018-08-15,396.7448409,414.56976
2018-08-14,399.4725631,414.54022
2018-08-13,400.4121413,414.51068
2018-08-10,401.5337292,414.48566
2018-08-09,402.3921356,414.45602
2018-08-08,401.9617014,414.42633
2018-08-07,402.999663,414.3966
2018-08-06,402.7758438,414.36685
2018-08-03,400.849954,414.34164
2018-08-02,401.1967619,414.31177
2018-08-01,399.6914732,414.28186
2018-07-31,399.46273,414.25195
2018-07-30,398.8502785,414.22192
2018-07-27,403.8310172,414.19653
2018-07-26,405.7692021,414.16647
2018-07-25,405.7150901,414.13632
2018-07-24,404.3500017,414.10614
2018-07-23,405.6634401,414.07593
2018-07-20,405.2674367,414.05035
2018-07-19,406.0496028,414.02005
2018-07-18,408.7305915,413.9897
2018-07-17,409.8005295,413.9593
2018-07-16,414.9657399,413.92883
2018-07-13,413.8146302,413.90305
2018-07-12,418.1681677,413.87256
2018-07-11,419.4348726,413.84195
2018-07-10,418.6920688,413.81134
2018-07-09,419.5135823,413.78064
2018-07-06,416.8768651,413.75467
2018-07-05,414.4516794,413.72394
2018-07-03,412.515949,413.66223
2018-07-02,414.4000219,413.63135
10.68747051,,
