date,test_value,predicted_value
2018-09-28,51.53330359,50.161774
2018-09-27,51.55051636,50.153164
2018-09-26,51.54257216,50.144466
2018-09-25,51.55448896,50.135677
2018-09-24,51.49093284,50.1268
2018-09-21,51.47239519,50.16357
2018-09-20,51.38368159,50.154976
2018-09-19,51.25127287,50.146286
2018-09-18,51.19830918,50.13751
2018-09-17,51.21817069,50.12864
2018-09-14,51.22743926,50.16536
2018-09-13,51.18904061,50.156773
2018-09-12,51.23935606,50.148094
2018-09-11,51.18374414,50.139328
2018-09-10,51.17579994,50.13047
2018-09-07,51.03677088,50.16714
2018-09-06,51.02352971,50.158566
2018-09-05,51.06722483,50.149902
2018-09-04,51.13872566,50.141144
2018-08-31,51.13872566,50.168915
2018-08-30,51.11224381,50.16035
2018-08-29,51.17977204,50.151695
2018-08-28,51.14666986,50.142956
2018-08-27,51.2380322,50.13412
2018-08-24,51.22876312,50.170677
2018-08-23,51.18904061,50.162132
2018-08-22,51.16785523,50.153484
2018-08-21,51.11621591,50.144753
2018-08-20,51.11753978,50.135933
2018-08-17,51.10959558,50.17244
2018-08-16,51.07516903,50.163902
2018-08-15,51.04074298,50.15527
2018-08-14,51.0923823,50.146545
2018-08-13,51.06325222,50.137733
2018-08-10,51.10429911,50.174194
2018-08-09,51.13342919,50.165665
2018-08-08,51.11356768,50.157043
2018-08-07,51.12548448,50.148335
2018-08-06,51.15064196,50.139534
2018-08-03,51.12416062,50.175938
2018-08-02,51.04868769,50.16742
2018-08-01,50.97586249,50.158813
2018-07-31,51.01955761,50.150116
2018-07-30,51.02617794,50.141323
2018-07-27,51.14534599,50.177673
2018-07-26,51.1771238,50.16917
2018-07-25,51.18771674,50.160572
2018-07-24,51.15064196,50.151882
2018-07-23,51.15064196,50.14311
2018-07-20,51.13078095,50.179405
2018-07-19,51.12018801,50.170914
2018-07-18,51.14666986,50.162323
2018-07-17,51.18109641,50.15365
2018-07-16,51.12283625,50.144882
2018-07-13,51.14534599,50.181126
2018-07-12,51.08178987,50.172646
2018-07-11,51.01426114,50.16407
2018-07-10,50.92819577,50.155403
2018-07-09,50.89376922,50.14665
2018-07-06,50.79711092,50.182842
2018-07-05,50.71898975,50.17437
2018-07-03,50.62762792,50.157154
2018-07-02,50.65808186,50.14841
0.999873647,,
