date,test_value,predicted_value
2018-09-04,232.1489401,228.27007
2018-09-05,231.9878414,228.2806
2018-09-06,231.5802319,228.29553
2018-09-07,231.3856165,228.29105
2018-09-10,231.0645013,228.45372
2018-09-11,231.6613216,228.3978
2018-09-12,231.3607494,228.3159
2018-09-13,231.9381073,228.22989
2018-09-14,231.6602393,228.13673
2018-09-17,231.0158479,228.25821
2018-09-18,231.054771,228.16359
2018-09-19,231.0688254,228.06815
2018-09-20,231.2483042,227.9508
2018-09-21,230.9920614,227.87733
2018-09-24,231.3304744,228.02582
2018-09-25,231.4818428,228.007
2018-09-26,231.2904707,227.97488
2018-09-27,231.7802521,227.95401
2018-09-28,231.8656674,227.9344
2018-10-01,232.0300079,228.23085
2018-10-02,232.2484098,228.24007
2018-10-03,232.5500643,228.26964
2018-10-04,232.1089364,228.29881
2018-10-05,231.7088928,228.29865
2018-10-08,231.6526718,228.52557
2018-10-09,231.9878414,228.55264
2018-10-10,230.8515057,228.5834
2018-10-11,230.644997,228.59122
2018-10-12,231.473193,228.55994
2018-10-15,230.9596253,228.73648
2018-10-16,231.4775171,228.73558
2018-10-17,231.3737232,228.70193
2018-10-18,230.8147455,228.68083
2018-10-19,231.170458,228.66936
2018-10-22,231.3153378,228.87527
2018-10-23,231.5402266,228.84666
2018-10-24,230.7141935,228.79315
2018-10-25,231.2234372,228.73502
2018-10-26,230.8450188,228.7932
2018-10-29,230.4060538,229.09035
2018-10-30,230.5206602,229.18706
2018-10-31,231.1218045,229.28325
2018-11-01,231.4850862,229.39055
2018-11-02,229.8914038,229.51357
2.997015146,,
