date,test_value,predicted_value
2018-09-04,275.2544196,274.17938
2018-09-05,273.7765315,274.28195
2018-09-06,274.2827142,274.3716
2018-09-07,274.439757,274.4704
2018-09-10,275.0707352,274.33798
2018-09-11,275.2992902,274.43027
2018-09-12,275.4100631,274.5837
2018-09-13,275.512419,274.67926
2018-09-14,276.3775621,274.8133
2018-09-17,275.4745619,274.73212
2018-09-18,275.8307152,274.8971
2018-09-19,275.00203,275.1092
2018-09-20,275.2067462,275.368
2018-09-21,274.4411605,275.56696
2018-09-24,274.8912571,275.54977
2018-09-25,275.4170723,275.7357
2018-09-26,275.5054099,275.9108
2018-09-27,275.7073233,276.08234
2018-09-28,275.7129331,276.2258
2018-10-01,276.4897343,275.48807
2018-10-02,276.0003771,275.60593
2018-10-03,275.7914545,275.67816
2018-10-04,274.8379738,275.75574
2018-10-05,274.7692687,275.87564
2018-10-08,273.5732146,275.7396
2018-10-09,273.4988996,275.79276
2018-10-10,271.2203672,275.81473
2018-10-11,271.315714,275.8679
2018-10-12,272.7571484,275.90277
2018-10-15,271.2343876,275.6916
2018-10-16,274.4117161,275.7181
2018-10-17,274.1649321,275.7608
2018-10-18,272.9646717,275.8313
2018-10-19,272.2187142,275.87637
2018-10-22,273.0642248,275.69257
2018-10-23,273.1623766,275.79944
2018-10-24,271.2946822,275.9743
2018-10-25,273.3250292,276.1349
2018-10-26,272.3266822,276.3009
2018-10-29,271.4783666,276.2304
2018-10-30,271.2904759,276.38623
2018-10-31,272.3210723,276.5173
2018-11-01,272.2537686,276.62112
2018-11-02,271.4629426,276.67728
2.579960101,,
