date,test_value,predicted_value
2018-09-04,155.3730626,151.3877
2018-09-05,154.5034335,151.3734
2018-09-06,154.3952403,151.34378
2018-09-07,154.4707706,151.29218
2018-09-10,154.7933099,151.49756
2018-09-11,154.8178055,151.50575
2018-09-12,154.7994338,151.46819
2018-09-13,154.9219181,151.4267
2018-09-14,154.9157942,151.37509
2018-09-17,153.9706317,151.57875
2018-09-18,154.3931969,151.58397
2018-09-19,154.313583,151.56706
2018-09-20,155.2995726,151.51308
2018-09-21,155.1301372,151.44507
2018-09-24,155.2179184,151.62912
2018-09-25,155.7425529,151.59337
2018-09-26,155.6241552,151.5372
2018-09-27,155.8650372,151.46928
2018-09-28,155.8874926,151.39516
2018-10-01,155.762968,151.75282
2018-10-02,155.4404287,151.74881
2018-10-03,155.6343597,151.73592
2018-10-04,155.0688981,151.70879
2018-10-05,155.048483,151.64467
2018-10-08,153.8665222,151.92397
2018-10-09,153.1826568,151.9163
2018-10-10,151.2719199,151.87831
2018-10-11,150.7391181,151.81494
2018-10-12,152.2272868,151.73286
2018-10-15,151.4964735,151.9928
2018-10-16,152.8886968,151.98422
2018-10-17,152.9601465,151.93861
2018-10-18,152.0456036,151.86719
2018-10-19,151.206594,151.77995
2018-10-22,151.7087762,152.03928
2018-10-23,151.3984848,152.00923
2018-10-24,149.5204107,151.94102
2018-10-25,150.5594752,151.84908
2018-10-26,149.4775418,151.74051
2018-10-29,149.3591411,151.97299
2018-10-30,149.732715,151.92769
2018-10-31,150.404331,151.86276
2018-11-01,151.6250787,151.80545
2018-11-02,151.4005281,151.74496
2.790428347,,
