date,test_value,predicted_value
2018-09-04,2046.295579,2008.0449
2018-09-05,2034.980305,2009.3425
2018-09-06,2025.736206,2010.5032
2018-09-07,2024.156245,2011.3132
2018-09-10,2020.849542,2013.546
2018-09-11,2033.038324,2014.0309
2018-09-12,2033.759922,2014.6921
2018-09-13,2033.727005,2015.7399
2018-09-14,2028.744126,2017.0175
2018-09-17,2013.005585,2019.633
2018-09-18,2021.366069,2021.4233
2018-09-19,2017.661833,2022.7594
2018-09-20,2022.18895,2024.3903
2018-09-21,2014.772877,2025.4867
2018-09-24,2019.672182,2028.2821
2018-09-25,2029.848081,2029.0555
2018-09-26,2029.924021,2029.7698
2018-09-27,2039.578324,2030.3184
2018-09-28,2037.051449,2031.3118
2018-10-01,2037.39579,2021.9318
2018-10-02,2029.027733,2022.4799
2018-10-03,2024.330965,2023.0409
2018-10-04,2013.357529,2023.4712
2018-10-05,2008.351871,2024.3656
2018-10-08,2001.963781,2026.7642
2018-10-09,2003.457603,2027.6792
2018-10-10,1974.322538,2028.705
2018-10-11,1965.235388,2030.2164
2018-10-12,1982.769099,2030.8893
2018-10-15,1975.765734,2033.3921
2018-10-16,1990.706737,2033.9099
2018-10-17,1993.68684,2034.4778
2018-10-18,1978.239448,2034.7274
2018-10-19,1976.545592,2035.1606
2018-10-22,1982.94382,2036.8702
2018-10-23,1977.72799,2038.4479
2018-10-24,1951.269176,2039.649
2018-10-25,1981.138542,2040.6395
2018-10-26,1945.853375,2040.8065
2018-10-29,1919.538869,2043.5897
2018-10-30,1917.396854,2043.689
2018-10-31,1934.510254,2044.1381
2018-11-01,1951.605945,2044.1376
2018-11-02,1951.605945,2044.4487
51.44680881,,
