date,test_value,predicted_value
2018-09-04,240.3371015,243.95238
2018-09-05,240.6171152,244.14792
2018-09-06,239.8502461,244.29042
2018-09-07,242.1874395,244.38461
2018-09-10,243.3173407,244.28236
2018-09-11,242.1832183,244.54475
2018-09-12,241.8089292,244.7422
2018-09-13,242.5870554,244.85231
2018-09-14,242.7165083,244.90747
2018-09-17,242.504037,244.7402
2018-09-18,243.1935152,244.87837
2018-09-19,243.4833775,244.9551
2018-09-20,243.9252068,244.93347
2018-09-21,244.3712594,244.85033
2018-09-24,244.5612167,244.56769
2018-09-25,244.3079382,244.60252
2018-09-26,243.9955618,244.57446
2018-09-27,244.1390866,244.49965
2018-09-28,244.1784853,244.36162
2018-10-01,244.5696589,243.44734
2018-10-02,244.3712594,243.47351
2018-10-03,244.5569955,243.4803
2018-10-04,244.381108,243.49855
2018-10-05,243.8267102,243.43085
2018-10-08,243.4242795,242.97762
2018-10-09,243.8928441,242.72575
2018-10-10,242.081907,242.3833
2018-10-11,241.6696255,242.0259
2018-10-12,242.2395015,241.62752
2018-10-15,242.1719613,241.14539
2018-10-16,242.9951157,240.91772
2018-10-17,242.8332979,240.86539
2018-10-18,241.5458022,240.83049
2018-10-19,241.582386,240.83154
2018-10-22,241.6302269,240.70294
2018-10-23,241.6907333,240.75519
2018-10-24,240.2357923,240.77493
2018-10-25,240.7324985,240.76686
2018-10-26,239.4534428,240.77075
2018-10-29,239.2212722,240.69232
2018-10-30,240.5594236,240.7856
2018-10-31,240.908386,240.83153
2018-11-01,241.8075229,240.87148
2018-11-02,240.5256546,240.82634
1.585028753,,
