date,test_value,predicted_value
2018-09-04,1959.135579,1971.3529
2018-09-05,1955.581034,1971.2861
2018-09-06,1957.436509,1971.1394
2018-09-07,1956.61269,1970.7886
2018-09-10,1953.821965,1971.9265
2018-09-11,1954.375828,1971.3628
2018-09-12,1953.85624,1970.8398
2018-09-13,1954.555798,1970.312
2018-09-14,1958.161777,1969.8983
2018-09-17,1955.428905,1971.1156
2018-09-18,1957.608986,1970.7834
2018-09-19,1959.287708,1970.4412
2018-09-20,1961.533136,1969.7743
2018-09-21,1962.4973,1968.7772
2018-09-24,1962.713703,1969.0808
2018-09-25,1962.311968,1967.7833
2018-09-26,1963.651086,1966.5094
2018-09-27,1963.847128,1965.2366
2018-09-28,1965.417648,1964.4373
2018-10-01,1965.975788,1964.7034
2018-10-02,1964.623816,1964.8295
2018-10-03,1964.199587,1965.2701
2018-10-04,1959.996904,1965.7023
2018-10-05,1956.830153,1965.7782
2018-10-08,1956.515199,1967.239
2018-10-09,1953.258463,1966.897
2018-10-10,1944.499564,1966.2438
2018-10-11,1943.746441,1965.2806
2018-10-12,1946.473964,1964.4456
2018-10-15,1946.919613,1965.0719
2018-10-16,1948.94865,1964.3771
2018-10-17,1951.116948,1963.7395
2018-10-18,1946.960323,1963.1942
2018-10-19,1946.320763,1963.0593
2018-10-22,1948.629407,1964.7769
2018-10-23,1948.919723,1965.1788
2018-10-24,1940.732891,1965.3306
2018-10-25,1946.191141,1965.3007
2018-10-26,1942.578741,1965.2488
2018-10-29,1944.423506,1966.3993
2018-10-30,1949.562499,1966.022
2018-10-31,1953.695546,1965.4407
2018-11-01,1955.9999,1964.9672
2018-11-02,1953.741618,1964.6871
14.18717785,,
