date,test_value,predicted_value
2018-09-04,160.1210792,158.89836
2018-09-05,159.2351523,158.91364
2018-09-06,159.2701246,158.98831
2018-09-07,159.5809735,159.10759
2018-09-10,159.753887,159.28537
2018-09-11,160.049193,159.38846
2018-09-12,160.5407254,159.48395
2018-09-13,161.0866564,159.57257
2018-09-14,160.9526046,159.6924
2018-09-17,160.4532992,159.9135
2018-09-18,160.6631238,160.00722
2018-09-19,160.0608494,160.0435
2018-09-20,160.565983,160.01846
2018-09-21,160.5698694,160.00505
2018-09-24,161.2032266,160.09796
2018-09-25,161.2207112,160.06097
2018-09-26,161.1158004,160.02658
2018-09-27,161.5237902,160.04382
2018-09-28,161.251797,160.1027
2018-10-01,161.4130512,159.69643
2018-10-02,160.9079176,159.77977
2018-10-03,161.2653982,159.85756
2018-10-04,160.4494128,159.97646
2018-10-05,160.4824433,160.09767
2018-10-08,159.2351523,160.37975
2018-10-09,159.2060113,160.52272
2018-10-10,157.1291398,160.68604
2018-10-11,157.4069641,160.81613
2018-10-12,158.8640766,160.92662
2018-10-15,157.9334658,161.1565
2018-10-16,159.0000732,161.26178
2018-10-17,158.9165305,161.29251
2018-10-18,158.1063763,161.34926
2018-10-19,157.6498162,161.39233
2018-10-22,158.1277474,161.57266
2018-10-23,157.6828437,161.62779
2018-10-24,156.2451576,161.6217
2018-10-25,157.710043,161.48282
2018-10-26,156.684236,161.32944
2018-10-29,155.8041403,161.30841
2018-10-30,156.0333913,161.2174
2018-10-31,157.0184008,161.0884
2018-11-01,157.4749609,160.99458
2018-11-02,156.9309716,160.98183
2.587813078,,
