date,test_value,predicted_value
2018-09-04,113.4548,117.12429
2018-09-05,113.063405,117.14577
2018-09-06,113.391223,117.20911
2018-09-07,113.7309642,117.258064
2018-09-10,113.3932102,117.517746
2018-09-11,113.2104265,117.547874
2018-09-12,113.3514879,117.592926
2018-09-13,113.518377,117.6602
2018-09-14,113.6038087,117.688194
2018-09-17,113.2898981,117.92627
2018-09-18,113.2819508,117.94915
2018-09-19,113.3355933,117.96858
2018-09-20,113.444867,117.96084
2018-09-21,113.7528174,117.912766
2018-09-24,113.7965269,118.069756
2018-09-25,113.9971924,118.033226
2018-09-26,114.3627597,118.004166
2018-09-27,114.6190549,117.977196
2018-09-28,114.8395879,117.960815
2018-10-01,114.2554747,117.8875
2018-10-02,114.1561356,117.90899
2018-10-03,114.0250072,117.94481
2018-10-04,113.5521534,117.97221
2018-10-05,113.4965237,117.97225
2018-10-08,112.8786342,118.250435
2018-10-09,112.6541267,118.26112
2018-10-10,111.7918637,118.26148
2018-10-11,111.4839117,118.27222
2018-10-12,111.9806074,118.29473
2018-10-15,111.936898,118.55142
2018-10-16,112.2428627,118.562935
2018-10-17,112.5150525,118.53629
2018-10-18,111.9210049,118.50649
2018-10-19,111.1878815,118.46195
2018-10-22,111.0388728,118.68216
2018-10-23,110.5878722,118.54451
2018-10-24,110.0236266,118.38439
2018-10-25,110.4984676,118.20436
2018-10-26,110.0176665,118.00208
2018-10-29,109.018315,118.07606
2018-10-30,109.7415038,117.87245
2018-10-31,108.9765927,117.64782
2018-11-01,109.6163355,117.539444
2018-11-02,109.2706357,117.463615
5.781277275,,
