date,test_value,predicted_value
2018-09-04,130.0246538,131.03403
2018-09-05,129.5420265,131.05936
2018-09-06,129.6352613,131.08354
2018-09-07,130.2234637,131.11575
2018-09-10,130.2549984,131.1412
2018-09-11,130.3537176,131.16843
2018-09-12,130.5552693,131.18607
2018-09-13,130.4414678,131.20885
2018-09-14,130.3496045,131.23189
2018-09-17,130.2453997,131.249
2018-09-18,130.478486,131.25354
2018-09-19,130.7664175,131.26619
2018-09-20,130.9926479,131.26938
2018-09-21,130.8966714,131.26033
2018-09-24,130.688266,131.2504
2018-09-25,130.4921978,131.23248
2018-09-26,130.6101124,131.21013
2018-09-27,130.5909171,131.18576
2018-09-28,130.4510644,131.17514
2018-10-01,130.4291285,131.38315
2018-10-02,130.242659,131.38745
2018-10-03,130.2988724,131.3998
2018-10-04,129.9656965,131.41757
2018-10-05,129.525574,131.42413
2018-10-08,129.3692678,131.46841
2018-10-09,129.2006233,131.47772
2018-10-10,128.5699182,131.48416
2018-10-11,128.4232107,131.48752
2018-10-12,128.8167153,131.4891
2018-10-15,128.8153449,131.52077
2018-10-16,129.2760341,131.51892
2018-10-17,129.0895646,131.51123
2018-10-18,128.8002628,131.50644
2018-10-19,128.7838092,131.50174
2018-10-22,128.808489,131.52536
2018-10-23,128.6316172,131.55745
2018-10-24,128.221659,131.57513
2018-10-25,128.6809768,131.5931
2018-10-26,129.0827087,131.60414
2018-10-29,129.2513543,131.6586
2018-10-30,129.6297767,131.66994
2018-10-31,129.7586603,131.68088
2018-11-01,130.0589312,131.67055
2018-11-02,129.9067392,131.66057
1.856407016,,
