date,test_value,predicted_value
2018-09-04,164.4167233,166.58923
2018-09-05,163.8375625,166.62013
2018-09-06,163.1609075,166.65718
2018-09-07,163.2351206,166.69963
2018-09-10,163.4010103,166.64088
2018-09-11,163.6571223,166.71298
2018-09-12,163.0837835,166.75012
2018-09-13,162.9906524,166.79578
2018-09-14,163.1303501,166.83359
2018-09-17,162.877149,166.77135
2018-09-18,162.8364043,166.80997
2018-09-19,163.2380315,166.8566
2018-09-20,163.668764,166.91785
2018-09-21,163.2191136,166.9849
2018-09-24,163.5799983,166.95206
2018-09-25,163.5072396,167.03305
2018-09-26,163.8040941,167.11375
2018-09-27,164.0791219,167.22417
2018-09-28,163.4417572,167.30481
2018-10-01,163.1478115,167.65587
2018-10-02,162.6952523,167.7181
2018-10-03,163.1463549,167.75005
2018-10-04,162.6254046,167.77327
2018-10-05,162.4042175,167.79626
2018-10-08,162.3925759,167.74026
2018-10-09,162.4871613,167.74939
2018-10-10,161.5383895,167.76878
2018-10-11,161.8250589,167.8216
2018-10-12,161.8818106,167.86923
2018-10-15,161.8497966,167.8472
2018-10-16,162.6152173,167.9121
2018-10-17,162.7083483,167.96027
2018-10-18,162.0535201,168.03093
2018-10-19,161.9269207,168.09866
2018-10-22,162.0331477,168.1383
2018-10-23,161.976396,168.27058
2018-10-24,160.7613249,168.41612
2018-10-25,161.4758159,168.54027
2018-10-26,160.6638286,168.64072
2018-10-29,160.1865317,168.74155
2018-10-30,160.7875192,168.8544
2018-10-31,161.5980499,168.83008
2018-11-01,161.5922302,168.77596
2018-11-02,161.3885068,168.69516
5.278083189,,
