date,test_value,predicted_value
2018-09-04,92.89023353,89.84098
2018-09-05,92.22790847,89.896576
2018-09-06,92.61081524,89.98983
2018-09-07,92.74534888,90.10759
2018-09-10,93.34816743,90.12181
2018-09-11,93.18776216,90.31485
2018-09-12,93.57584247,90.46761
2018-09-13,93.88630593,90.695694
2018-09-14,93.99496794,90.79427
2018-09-17,93.43095781,90.73088
2018-09-18,93.49822562,90.77805
2018-09-19,92.82555348,90.70407
2018-09-20,92.79450635,90.43187
2018-09-21,92.73500181,90.16972
2018-09-24,93.1929357,89.722336
2018-09-25,93.77764391,89.53309
2018-09-26,93.78799296,89.319595
2018-09-27,94.35976438,89.13096
2018-09-28,94.49171026,89.02408
2018-10-01,94.49688577,88.02177
2018-10-02,94.20970618,88.08436
2018-10-03,94.29249657,88.20365
2018-10-04,93.72072515,88.39768
2018-10-05,92.89540707,88.5239
2018-10-08,92.27447818,88.51169
2018-10-09,91.97953731,88.69076
2018-10-10,91.20596445,88.85171
2018-10-11,90.57210074,88.97157
2018-10-12,91.30427741,89.097664
2018-10-15,91.35602264,89.04767
2018-10-16,92.01834573,89.20388
2018-10-17,91.7466907,89.303
2018-10-18,91.75962553,89.36464
2018-10-19,91.62767767,89.4602
2018-10-22,92.07785225,89.357124
2018-10-23,92.19686331,89.32953
2018-10-24,91.08436564,89.04409
2018-10-25,91.60180604,88.67126
2018-10-26,90.84893128,88.31907
2018-10-29,90.68076275,88.42921
2018-10-30,91.04555721,88.89827
2018-10-31,91.88122434,89.28964
2018-11-01,92.2718924,89.773186
2018-11-02,89.39233526,90.39411
3.390874559,,
