date,test_value,predicted_value
2018-09-04,1191.954482,1184.7009
2018-09-05,1190.332824,1184.5513
2018-09-06,1188.014405,1184.418
2018-09-07,1186.995478,1184.2041
2018-09-10,1186.966198,1184.5454
2018-09-11,1188.926979,1184.4745
2018-09-12,1186.685635,1184.3494
2018-09-13,1188.61405,1183.9575
2018-09-14,1188.182442,1183.7356
2018-09-17,1185.642057,1184.0829
2018-09-18,1186.438999,1184.2222
2018-09-19,1187.960457,1184.3365
2018-09-20,1190.392944,1184.5023
2018-09-21,1187.189708,1184.5154
2018-09-24,1188.311923,1185.0027
2018-09-25,1190.050736,1185.033
2018-09-26,1189.409468,1185.1217
2018-09-27,1191.590691,1184.9197
2018-09-28,1191.410329,1184.9388
2018-10-01,1191.693978,1184.1699
2018-10-02,1192.433886,1184.0651
2018-10-03,1192.871666,1184.1145
2018-10-04,1187.513418,1184.1385
2018-10-05,1185.84244,1183.9604
2018-10-08,1184.550665,1184.2604
2018-10-09,1182.986041,1184.07
2018-10-10,1174.107018,1183.9407
2018-10-11,1173.81413,1183.4894
2018-10-12,1178.555778,1183.0696
2018-10-15,1175.807294,1183.2383
2018-10-16,1180.282267,1183.0295
2018-10-17,1179.420556,1182.7844
2018-10-18,1175.147529,1182.3593
2018-10-19,1176.456259,1181.7041
2018-10-22,1177.180774,1181.8982
2018-10-23,1177.570759,1181.825
2018-10-24,1169.403907,1181.7277
2018-10-25,1176.319063,1181.6593
2018-10-26,1172.604058,1181.7582
2018-10-29,1164.682309,1182.3167
2018-10-30,1167.168736,1182.698
2018-10-31,1173.421059,1183.1078
2018-11-01,1172.377462,1183.126
2018-11-02,1170.4953,1183.002
7.053188827,,
