date,test_value,predicted_value
2018-09-04,67.20673424,67.02352
2018-09-05,67.06241853,66.97838
2018-09-06,66.88421076,66.940025
2018-09-07,66.87109085,66.919556
2018-09-10,66.93340897,66.96531
2018-09-11,67.07225868,66.964294
2018-09-12,67.20236094,66.94388
2018-09-13,67.08647129,66.90426
2018-09-14,67.14769589,66.870834
2018-09-17,67.12473666,66.885666
2018-09-18,67.20892131,66.84857
2018-09-19,67.2264137,66.83255
2018-09-20,67.3302778,66.79188
2018-09-21,67.36307633,66.77415
2018-09-24,67.400249,66.81781
2018-09-25,67.51613865,66.811264
2018-09-26,67.50192603,66.798744
2018-09-27,67.55987086,66.776764
2018-09-28,67.52597796,66.75894
2018-10-01,67.66920097,66.6096
2018-10-02,67.65936082,66.62816
2018-10-03,67.8364759,66.648636
2018-10-04,67.80477006,66.67793
2018-10-05,67.8714615,66.69817
2018-10-08,67.87036796,66.75989
2018-10-09,67.98188514,66.75568
2018-10-10,67.57845678,66.74042
2018-10-11,67.46803313,66.70356
2018-10-12,67.59594999,66.62872
2018-10-15,67.57298994,66.57537
2018-10-16,67.57189724,66.488434
2018-10-17,67.44726098,66.41777
2018-10-18,67.26795967,66.34956
2018-10-19,67.23953361,66.29236
2018-10-22,67.15644249,66.29358
2018-10-23,66.88202411,66.27544
2018-10-24,66.60979196,66.29112
2018-10-25,66.86999773,66.29494
2018-10-26,66.85906447,66.30473
2018-10-29,66.67320362,66.35349
2018-10-30,66.77816042,66.3768
2018-10-31,66.81751933,66.38403
2018-11-01,66.80658607,66.39049
2018-11-02,66.67101697,66.373985
0.714828094,,
