date,test_value,predicted_value
2018-09-04,140.7150906,141.99834
2018-09-05,140.897269,142.04788
2018-09-06,140.8470768,142.13745
2018-09-07,140.6723357,142.22517
2018-09-10,140.709514,142.39536
2018-09-11,140.8656674,142.40425
2018-09-12,140.8805392,142.38808
2018-09-13,141.3229658,142.33508
2018-09-14,141.2077122,142.263
2018-09-17,141.1352135,142.26456
2018-09-18,141.2504671,142.108
2018-09-19,141.3434143,141.96169
2018-09-20,141.7319327,141.78236
2018-09-21,141.7691139,141.6228
2018-09-24,141.523732,141.57349
2018-09-25,141.3155313,141.45174
2018-09-26,141.8174454,141.36133
2018-09-27,141.7969969,141.29648
2018-09-28,141.7430888,141.23785
2018-10-01,142.0758384,140.79977
2018-10-02,142.2152591,140.84239
2018-10-03,142.1167353,140.94539
2018-10-04,141.7616765,141.02716
2018-10-05,141.3378377,141.10048
2018-10-08,141.2188654,141.34978
2018-10-09,141.0050881,141.44075
2018-10-10,140.1592684,141.48595
2018-10-11,139.4770366,141.46907
2018-10-12,139.8172235,141.43427
2018-10-15,139.8692737,141.58708
2018-10-16,140.6109902,141.57237
2018-10-17,138.5531416,141.50264
2018-10-18,137.9025114,141.4611
2018-10-19,137.6329653,141.43771
2018-10-22,137.8039877,141.58475
2018-10-23,138.0252024,141.56703
2018-10-24,137.2816237,141.46396
2018-10-25,137.1403436,141.38623
2018-10-26,136.8317598,141.31166
2018-10-29,135.8744037,141.3414
2018-10-30,135.0862122,141.30598
2018-10-31,135.0917888,141.25272
2018-11-01,135.3520412,141.24557
2018-11-02,135.1364031,141.24498
2.75751463,,
