date,test_value,predicted_value
2018-09-04,46.47438699,46.950893
2018-09-05,46.45400647,46.934822
2018-09-06,46.41494321,46.91855
2018-09-07,46.34615854,46.89267
2018-09-10,46.33342047,46.86502
2018-09-11,46.2170807,46.849888
2018-09-12,46.2170807,46.829327
2018-09-13,46.2714292,46.79756
2018-09-14,46.26888171,46.76693
2018-09-17,46.25869113,46.74455
2018-09-18,46.31643648,46.728703
2018-09-19,46.32068272,46.700485
2018-09-20,46.40984824,46.648254
2018-09-21,46.36399158,46.58676
2018-09-24,46.38522148,46.52715
2018-09-25,46.30030187,46.484287
2018-09-26,46.28246884,46.43911
2018-09-27,46.29775439,46.39734
2018-09-28,46.41749102,46.364166
2018-10-01,46.34615854,46.11741
2018-10-02,46.48627569,46.12841
2018-10-03,46.54232261,46.15051
2018-10-04,46.48882349,46.18118
2018-10-05,46.39541174,46.19795
2018-10-08,46.39541174,46.194363
2018-10-09,46.35465037,46.214184
2018-10-10,46.20604106,46.227257
2018-10-11,46.15763692,46.226944
2018-10-12,46.21283479,46.22186
2018-10-15,46.18311273,46.19307
2018-10-16,46.30284936,46.19804
2018-10-17,46.29860344,46.19551
2018-10-18,46.22047757,46.19512
2018-10-19,46.13810545,46.19392
2018-10-22,46.2238741,46.17815
2018-10-23,46.18056525,46.138493
2018-10-24,46.00393232,46.0894
2018-10-25,46.16443064,46.046227
2018-10-26,46.28161946,46.0025
2018-10-29,46.25699302,45.937023
2018-10-30,46.45740301,45.90351
2018-10-31,46.38267399,45.862125
2018-11-01,46.49646627,45.87213
2018-11-02,46.40220546,45.892902
0.348118337,,
