date,test_value,predicted_value
2018-09-04,231.4991571,231.20392
2018-09-05,231.2099824,231.29044
2018-09-06,231.3750231,231.37292
2018-09-07,231.4399119,231.44902
2018-09-10,232.0605779,231.43166
2018-09-11,232.2439572,231.50642
2018-09-12,232.1959949,231.57703
2018-09-13,232.4922231,231.65054
2018-09-14,232.4583678,231.75938
2018-09-17,232.1663734,231.82692
2018-09-18,232.5486465,231.97037
2018-09-19,231.5189055,232.07779
2018-09-20,231.599309,232.13898
2018-09-21,231.4568385,232.19862
2018-09-24,231.2396039,232.18185
2018-09-25,231.6712513,232.22061
2018-09-26,231.7022826,232.25581
2018-09-27,231.7925635,232.28583
2018-09-28,232.4386194,232.36923
2018-10-01,232.4837598,231.85844
2018-10-02,232.4696529,231.9955
2018-10-03,232.991579,232.15427
2018-10-04,232.0535244,232.32455
2018-10-05,231.7206212,232.46558
2018-10-08,231.0195496,232.574
2018-10-09,231.487872,232.71457
2018-10-10,229.1998681,232.84474
2018-10-11,228.6708907,232.97202
2018-10-12,230.2408964,233.08325
2018-10-15,229.8120708,233.13483
2018-10-16,230.6781831,233.25362
2018-10-17,231.2297308,233.33557
2018-10-18,230.3622065,233.41962
2018-10-19,230.1393326,233.48163
2018-10-22,230.4454339,233.51083
2018-10-23,229.8247658,233.54953
2018-10-24,228.7752742,233.54222
2018-10-25,229.6540836,233.51053
2018-10-26,228.8585016,233.48251
2018-10-29,228.6680689,233.40022
2018-10-30,228.9685288,233.38553
2018-10-31,230.1252256,233.36096
2018-11-01,230.3170682,233.39482
2018-11-02,230.4045251,233.50154
2.374118207,,
