date,test_value,predicted_value
2018-09-04,115.5365881,115.01386
2018-09-05,115.1553047,115.04746
2018-09-06,115.1849075,115.07021
2018-09-07,115.1221498,115.08982
2018-09-10,115.2606904,115.07893
2018-09-11,115.4809349,115.07826
2018-09-12,115.5365881,115.0603
2018-09-13,115.6786818,115.05633
2018-09-14,115.7331508,115.05857
2018-09-17,115.5875049,115.06444
2018-09-18,115.7142046,115.07824
2018-09-19,115.5354038,115.0781
2018-09-20,115.7568326,115.04458
2018-09-21,115.8385364,115.040825
2018-09-24,115.8870844,115.019066
2018-09-25,115.8610339,115.00366
2018-09-26,115.8053815,114.97987
2018-09-27,115.8562982,114.96088
2018-09-28,115.8515617,114.960266
2018-10-01,115.998391,115.03848
2018-10-02,115.9439221,115.06104
2018-10-03,115.9462899,115.1059
2018-10-04,115.6644722,115.16265
2018-10-05,115.5863205,115.20128
2018-10-08,115.4347547,115.264336
2018-10-09,115.6017145,115.32718
2018-10-10,114.8794079,115.39249
2018-10-11,114.8498052,115.4493
2018-10-12,115.2831888,115.48896
2018-10-15,115.0499191,115.513695
2018-10-16,115.4525165,115.56988
2018-10-17,115.4181772,115.60875
2018-10-18,115.1564891,115.647064
2018-10-19,115.1754353,115.68756
2018-10-22,115.2902932,115.74323
2018-10-23,115.1091245,115.759636
2018-10-24,114.4247094,115.7698
2018-10-25,115.1328073,115.76383
2018-10-26,114.9741361,115.76205
2018-10-29,114.605878,115.74748
2018-10-30,114.5916693,115.74862
2018-10-31,114.9563743,115.73305
2018-11-01,114.8509886,115.75932
2018-11-02,114.8794079,115.80832
0.675795669,,
