date,test_value,predicted_value
2018-09-04,368.6535368,372.54776
2018-09-05,363.480188,372.93472
2018-09-06,364.6985314,373.2901
2018-09-07,365.2107898,373.63962
2018-09-10,365.1484907,373.39993
2018-09-11,366.8837049,373.76715
2018-09-12,370.118781,374.10266
2018-09-13,369.7034324,374.4631
2018-09-14,368.8750518,374.78415
2018-09-17,365.5961403,374.53854
2018-09-18,369.5880589,374.84238
2018-09-19,369.428843,375.21103
2018-09-20,369.0596465,375.54236
2018-09-21,368.0974359,375.92834
2018-09-24,370.0403209,375.59573
2018-09-25,369.9987882,376.10318
2018-09-26,371.9486023,376.65747
2018-09-27,372.601613,377.256
2018-09-28,371.0833014,377.70294
2018-10-01,372.767751,371.1532
2018-10-02,371.7778519,371.4244
2018-10-03,371.7570785,371.81918
2018-10-04,368.6650713,371.99283
2018-10-05,365.8268872,372.07166
2018-10-08,365.3077066,371.30328
2018-10-09,366.8329403,371.32538
2018-10-10,359.9520729,371.47537
2018-10-11,358.8467932,371.6219
2018-10-12,363.1063792,371.8374
2018-10-15,361.6226782,371.31262
2018-10-16,364.6846872,371.54636
2018-10-17,368.9073598,371.78647
2018-10-18,364.7562181,371.95596
2018-10-19,361.5165366,372.08267
2018-10-22,360.7942977,371.25317
2018-10-23,361.6296004,371.0524
2018-10-24,354.4002958,370.75513
2018-10-25,356.9477437,370.406
2018-10-26,353.938802,370.00995
2018-10-29,350.4799081,369.02747
2018-10-30,350.7037329,368.7632
2018-10-31,354.3887613,368.7473
2018-11-01,357.9884145,368.7112
2018-11-02,356.0778304,368.68658
9.154872738,,
