date,test_value,predicted_value
2018-09-04,290.4816427,279.05365
2018-09-05,288.5206086,279.0193
2018-09-06,286.4035781,278.99347
2018-09-07,286.0841613,278.9661
2018-09-10,287.1501119,278.93588
2018-09-11,286.4332858,278.98715
2018-09-12,284.7248178,279.03333
2018-09-13,285.8910332,279.0823
2018-09-14,287.7814988,279.17386
2018-09-17,286.8529787,279.1711
2018-09-18,285.7721799,279.2857
2018-09-19,286.1287398,279.5057
2018-09-20,284.0117093,279.84735
2018-09-21,282.9606295,280.14868
2018-09-24,283.7962976,280.38736
2018-09-25,284.8028103,280.64328
2018-09-26,284.2494159,280.88037
2018-09-27,284.4276845,281.11496
2018-09-28,289.4862605,281.30048
2018-10-01,292.5838023,280.81427
2018-10-02,291.5141566,280.8967
2018-10-03,291.6070086,280.93686
2018-10-04,288.8437318,280.9254
2018-10-05,285.3413452,280.9709
2018-10-08,283.8222876,280.88245
2018-10-09,283.736871,280.85742
2018-10-10,276.3644187,280.798
2018-10-11,272.4423505,280.74225
2018-10-12,276.6801122,280.68756
2018-10-15,272.5352025,280.60535
2018-10-16,276.4164156,280.55203
2018-10-17,275.3876137,280.54926
2018-10-18,274.0765437,280.51904
2018-10-19,270.228756,280.49405
2018-10-22,270.9901437,280.40955
2018-10-23,267.2166364,280.4354
2018-10-24,259.1756542,280.5304
2018-10-25,262.3066214,280.6156
2018-10-26,258.7596733,280.68182
2018-10-29,254.0539339,280.67758
2018-10-30,260.5090078,280.69193
2018-10-31,263.4171336,280.74448
2018-11-01,266.1209838,280.7602
2018-11-02,264.9361912,280.7204
10.79772983,,
