date,test_value,predicted_value
2018-09-04,111.1547571,108.700264
2018-09-05,110.8890146,108.72283
2018-09-06,110.8437824,108.73681
2018-09-07,110.3858019,108.741936
2018-09-10,110.3594163,108.74242
2018-09-11,109.9315915,108.71677
2018-09-12,109.6470024,108.68043
2018-09-13,109.8693963,108.644646
2018-09-14,109.8015472,108.60991
2018-09-17,109.4886875,108.60228
2018-09-18,109.7167366,108.57055
2018-09-19,110.180371,108.54598
2018-09-20,110.3914557,108.511566
2018-09-21,110.6854688,108.47751
2018-09-24,110.6383515,108.433624
2018-09-25,110.2142955,108.393
2018-09-26,109.963631,108.35147
2018-09-27,110.1652931,108.31759
2018-09-28,110.1652931,108.28245
2018-10-01,110.2501037,107.33203
2018-10-02,110.3858019,107.32281
2018-10-03,110.3330307,107.320694
2018-10-04,109.897667,107.32807
2018-10-05,109.4095307,107.318726
2018-10-08,109.1550974,107.345634
2018-10-09,109.332259,107.353096
2018-10-10,108.6481144,107.34475
2018-10-11,108.7027707,107.31728
2018-10-12,108.9967824,107.28874
2018-10-15,108.6839241,107.31061
2018-10-16,109.1965609,107.289505
2018-10-17,109.0815945,107.26374
2018-10-18,108.7046558,107.209076
2018-10-19,108.4634153,107.15192
2018-10-22,108.7385803,107.18064
2018-10-23,108.8384688,107.1478
2018-10-24,107.285482,107.11375
2018-10-25,107.2402483,107.08218
2018-10-26,107.0122006,107.06221
2018-10-29,106.9405828,107.08897
2018-10-30,107.4701811,107.08699
2018-10-31,107.4400268,107.07657
2018-11-01,108.3390248,107.07325
2018-11-02,107.8603126,107.07713
1.71248741,,
