date,test_value,predicted_value
2018-07-02,272.8076365,274.78598
2018-07-03,272.6490813,274.79883
2018-07-05,272.9243329,274.82385
2018-07-06,273.4329792,274.83603
2018-07-09,273.6333932,274.90555
2018-07-10,273.4887909,274.91846
2018-07-11,273.4240992,274.93115
2018-07-12,274.2802972,274.94366
2018-07-13,274.7521576,274.95593
2018-07-16,274.2561965,275.0246
2018-07-17,274.7166414,275.0376
2018-07-18,274.9031024,275.05035
2018-07-19,274.6367289,275.06296
2018-07-20,274.6189728,275.07532
2018-07-23,274.8637811,275.14313
2018-07-24,274.6126282,275.1562
2018-07-25,275.333106,275.16904
2018-07-26,275.1758166,275.18173
2018-07-27,274.2726869,275.19415
2018-07-30,272.6884046,275.26114
2018-07-31,272.987755,275.2743
2018-08-01,273.4101462,275.28723
2018-08-02,273.944161,275.29996
2018-08-03,274.0786155,275.3125
2018-08-06,274.1838963,275.37863
2018-08-07,274.0925684,275.39188
2018-08-08,274.1483801,275.4049
2018-08-09,274.144575,275.41772
2018-08-10,274.1318898,275.43033
2018-08-13,274.1115942,275.4956
2018-08-14,274.4299724,275.50894
2018-08-15,273.7285263,275.52203
2018-08-16,273.5217697,275.53494
2018-08-17,273.1171366,275.5476
2018-08-20,273.6321235,275.6121
2018-08-21,273.852833,275.62546
2018-08-22,274.3652825,275.63864
2018-08-23,274.5504759,275.6516
2018-08-24,275.1225442,275.6644
2018-08-27,275.2354335,275.72803
2018-08-28,275.3166156,275.74152
2018-08-29,275.9914236,275.75473
2018-08-30,275.7466153,275.76776
2018-08-31,275.3762325,275.7806
2018-09-04,275.7783263,275.85696
2018-09-05,274.4413917,275.87027
2018-09-06,274.8992973,275.8834
2018-09-07,275.0413621,275.89633
2018-09-10,275.6121608,275.9583
2018-09-11,275.8189174,275.97195
2018-09-12,275.9191253,275.98532
2018-09-13,276.0117191,275.9985
2018-09-14,276.7943492,276.0115
2018-09-17,275.9774726,276.0727
2018-09-18,276.2996578,276.08636
2018-09-19,275.5500084,276.0998
2018-09-20,275.7351998,276.11307
2018-09-21,275.0426318,276.12613
2018-09-24,275.4498004,276.18652
2018-09-25,275.925466,276.20023
2018-09-26,276.0053784,276.21378
2018-09-27,276.1880343,276.22708
2018-09-28,276.1931092,276.2402
1.151609196,,
