date,test_value,predicted_value
2018-07-02,155.183608,155.1206
2018-07-03,155.1189828,155.15686
2018-07-05,155.3774938,155.22916
2018-07-06,155.8751282,155.26524
2018-07-09,155.8449687,155.22536
2018-07-10,155.7157115,155.26143
2018-07-11,155.2525461,155.29744
2018-07-12,156.3813816,155.33336
2018-07-13,156.327525,155.36925
2018-07-16,156.1185611,155.32938
2018-07-17,156.1874959,155.36526
2018-07-18,156.3749158,155.40108
2018-07-19,155.743718,155.43683
2018-07-20,155.7049428,155.47253
2018-07-23,155.743718,155.43266
2018-07-24,155.2719337,155.46834
2018-07-25,156.034545,155.50398
2018-07-26,156.0970172,155.53954
2018-07-27,155.0241946,155.57504
2018-07-30,154.12802,155.53519
2018-07-31,154.4382345,155.57068
2018-08-01,154.1667968,155.60612
2018-08-02,155.0241946,155.64151
2018-08-03,155.215924,155.67682
2018-08-06,155.7114054,155.63698
2018-08-07,155.8923627,155.67229
2018-08-08,155.6661644,155.70752
2018-08-09,155.8751282,155.7427
2018-08-10,155.8191186,155.77783
2018-08-13,155.5045946,155.73799
2018-08-14,155.6360048,155.77312
2018-08-15,155.0004976,155.80817
2018-08-16,155.5778388,155.84314
2018-08-17,155.2805526,155.87808
2018-08-20,155.5756857,155.83824
2018-08-21,155.9634538,155.87317
2018-08-22,156.2693589,155.90804
2018-08-23,156.1336393,155.94283
2018-08-24,160.6338966,155.97755
2018-08-27,160.0802525,155.93776
2018-08-28,160.5498805,155.97247
2018-08-29,160.3042945,156.00716
2018-08-30,159.9143732,156.04173
2018-08-31,160.0199334,156.07628
2018-09-04,159.8562072,156.07101
2018-09-05,158.9384919,156.10547
2018-09-06,158.8243162,156.13988
2018-09-07,158.9040229,156.17421
2018-09-10,159.244397,156.13446
2018-09-11,159.2702471,156.16878
2018-09-12,159.2508595,156.20305
2018-09-13,159.3801167,156.23724
2018-09-14,159.3736542,156.27136
2018-09-17,158.3762289,156.23167
2018-09-18,158.8221598,156.2658
2018-09-19,158.7381436,156.29985
2018-09-20,159.7786535,156.33385
2018-09-21,159.5998492,156.36778
2018-09-24,159.6924843,156.3281
2018-09-25,160.2461284,156.36203
2018-09-26,160.121184,156.39589
2018-09-27,160.3753856,156.42969
2018-09-28,160.3990826,156.46341
2.248354954,,
