date,test_value,predicted_value
2018-09-28,243.621607,244.33368
2018-09-27,243.5703338,244.30606
2018-09-26,243.3835512,244.2784
2018-09-25,243.7900766,244.25069
2018-09-24,244.1196922,244.22292
2018-09-21,243.8724826,244.19302
2018-09-20,243.2919914,244.16516
2018-09-19,242.7169964,244.13722
2018-09-18,242.3397708,244.10922
2018-09-17,241.4424865,244.08119
2018-09-14,241.7189959,244.051
2018-09-13,241.5505263,244.02284
2018-09-12,240.5378759,243.99461
2018-09-11,241.0249743,243.96634
2018-09-10,242.5009168,243.93803
2018-09-07,241.0304677,243.90753
2018-09-06,237.9888533,243.87909
2018-09-05,238.9868538,243.85057
2018-09-04,238.6224451,243.82202
2018-08-31,238.5491984,243.76259
2018-08-30,238.1133732,243.73387
2018-08-29,237.809397,243.7051
2018-08-28,237.7068477,243.67627
2018-08-27,237.4394949,243.64737
2018-08-24,236.7125104,243.61624
2018-08-23,236.0880723,243.58722
2018-08-22,236.4451547,243.55817
2018-08-21,236.9890198,243.52904
2018-08-20,236.2949982,243.49986
2018-08-17,236.7619534,243.46841
2018-08-16,236.6557438,243.43913
2018-08-15,236.2693616,243.40977
2018-08-14,236.4012078,243.38037
2018-08-13,237.0933992,243.35092
2018-08-10,237.3039855,243.31912
2018-08-09,238.1005563,243.28957
2018-08-08,238.6279412,243.25995
2018-08-07,238.7835911,243.23026
2018-08-06,238.1683096,243.2005
2018-08-03,238.3257924,243.1684
2018-08-02,238.0584396,243.13853
2018-08-01,238.1408428,243.10863
2018-07-31,239.0509467,243.07864
2018-07-30,239.677215,243.04863
2018-07-27,238.9191005,243.01619
2018-07-26,239.3091431,242.98604
2018-07-25,239.8200479,242.95583
2018-07-24,238.239726,242.92557
2018-07-23,238.1261929,242.89525
2018-07-20,236.9560596,242.8625
2018-07-19,236.9633831,242.83206
2018-07-18,236.6722239,242.80156
2018-07-17,236.5861575,242.77101
2018-07-16,235.6595735,242.74042
2018-07-13,235.5149103,242.70732
2018-07-12,236.8919667,242.6766
2018-07-11,243.0191452,242.64583
2018-07-10,244.3229549,242.61497
2018-07-09,243.7497901,242.58408
2018-07-06,243.7955699,242.55066
2018-07-05,243.3780578,242.51964
2018-07-03,242.2591977,242.45743
2018-07-02,242.7646093,242.42624
4.702255683,,
