date,test_value,predicted_value
2018-09-28,2060.480944,2061.851
2018-09-27,2058.735063,2062.1294
2018-09-26,2058.517131,2062.4077
2018-09-25,2057.028491,2062.6858
2018-09-24,2057.475083,2062.9636
2018-09-21,2057.234517,2061.9763
2018-09-20,2056.162696,2062.254
2018-09-19,2053.666549,2062.5315
2018-09-18,2051.800384,2062.809
2018-09-17,2049.376881,2063.0862
2018-09-14,2052.414899,2062.0815
2018-09-13,2048.406285,2062.359
2018-09-12,2047.628616,2062.6357
2018-09-11,2048.20622,2062.9126
2018-09-10,2047.590513,2063.1892
2018-09-07,2050.692845,2062.1667
2018-09-06,2051.608649,2062.443
2018-09-05,2049.545996,2062.7195
2018-09-04,2053.497434,2062.9956
2018-08-31,2056.61644,2062.2312
2018-08-30,2055.717296,2062.5068
2018-08-29,2055.720872,2062.7827
2018-08-28,2054.196499,2063.058
2018-08-27,2054.728833,2063.3333
2018-08-24,2050.875043,2062.2744
2018-08-23,2049.86992,2062.5493
2018-08-22,2052.501833,2062.8245
2018-08-21,2050.248622,2063.099
2018-08-20,2045.546904,2063.3738
2018-08-17,2043.412799,2062.296
2018-08-16,2041.54425,2062.5703
2018-08-15,2046.129262,2062.8445
2018-08-14,2042.563678,2063.1187
2018-08-13,2045.030052,2063.3926
2018-08-10,2050.198613,2062.2954
2018-08-09,2055.525561,2062.569
2018-08-08,2067.745508,2062.8425
2018-08-07,2071.674326,2063.116
2018-08-06,2071.419484,2063.389
2018-08-03,2065.924599,2062.2722
2018-08-02,2066.324744,2062.545
2018-08-01,2065.140984,2062.8179
2018-07-31,2065.8067,2063.0906
2018-07-30,2065.947234,2063.3628
2018-07-27,2072.512733,2062.2258
2018-07-26,2072.286442,2062.498
2018-07-25,2070.209498,2062.77
2018-07-24,2065.512548,2063.0417
2018-07-23,2061.906463,2063.3135
2018-07-20,2063.538021,2062.1558
2018-07-19,2063.648768,2062.4272
2018-07-18,2065.233879,2062.6985
2018-07-17,2066.02107,2062.9695
2018-07-16,2064.768228,2063.2405
2018-07-13,2066.130624,2062.062
2018-07-12,2069.187715,2062.3325
2018-07-11,2068.680386,2062.603
2018-07-10,2070.013009,2062.873
2018-07-09,2072.110189,2063.1433
2018-07-06,2072.738994,2061.9434
2018-07-05,2070.621549,2062.2131
2018-07-03,2069.559265,2062.7522
2018-07-02,2068.095629,2063.0215
9.923714653,,
