date,test_value,predicted_value
2018-09-28,163.7454884,161.12132
2018-09-27,163.9868648,161.09212
2018-09-26,163.6248001,161.06064
2018-09-25,163.7179017,161.02684
2018-09-24,163.7023853,160.9908
2018-09-21,163.1403214,161.05112
2018-09-20,163.1368724,161.02249
2018-09-19,162.6885989,160.99156
2018-09-18,163.2230787,160.95834
2018-09-17,163.0368729,160.92287
2018-09-14,163.4799743,160.98062
2018-09-13,163.5989367,160.95258
2018-09-12,163.114458,160.92223
2018-09-11,162.6782545,160.88959
2018-09-10,162.4161894,160.85466
2018-09-07,162.2627398,160.90985
2018-09-06,161.9868813,160.8824
2018-09-05,161.9558457,160.85263
2018-09-04,162.742049,160.82054
2018-08-31,162.6506679,160.8388
2018-08-30,162.5575663,160.81192
2018-08-29,163.0161842,160.78273
2018-08-28,162.704118,160.75124
2018-08-27,162.4782554,160.71747
2018-08-24,162.5851529,160.76747
2018-08-23,161.8144688,160.74118
2018-08-22,161.5782645,160.71257
2018-08-21,161.4179195,160.68166
2018-08-20,161.4489551,160.64845
2018-08-17,161.3299901,160.69586
2018-08-16,161.4524015,160.67015
2018-08-15,161.3334365,160.64214
2018-08-14,161.59723,160.6118
2018-08-13,161.2317137,160.57918
2018-08-10,161.4144705,160.62398
2018-08-09,161.4679206,160.59886
2018-08-08,161.3558509,160.57143
2018-08-07,161.2299905,160.54169
2018-08-06,160.9317176,160.50963
2018-08-03,160.6437864,160.5518
2018-08-02,160.6610287,160.52728
2018-08-01,160.0644803,160.50044
2018-07-31,159.9731019,160.47128
2018-07-30,160.1248257,160.43982
2018-07-27,161.1386121,160.47935
2018-07-26,161.7696425,160.45544
2018-07-25,161.9937767,160.4292
2018-07-24,161.4989536,160.40062
2018-07-23,161.7679167,160.36974
2018-07-20,161.6489517,160.40665
2018-07-19,161.6989528,160.38333
2018-07-18,161.816192,160.35768
2018-07-17,161.6748151,160.3297
2018-07-16,161.6644708,160.29941
2018-07-13,161.7765379,160.33366
2018-07-12,161.8713653,160.31096
2018-07-11,161.3696442,160.28589
2018-07-10,160.8868887,160.2585
2018-07-09,160.7679236,160.2288
2018-07-06,160.705855,160.2604
2018-07-05,160.4248244,160.2383
2018-07-03,160.0920669,160.18704
2018-07-02,160.5386147,160.15794
1.510447516,,
