date,test_value,predicted_value
2018-09-28,142.2438397,143.89948
2018-09-27,141.960138,143.85634
2018-09-26,141.6304306,143.80571
2018-09-25,141.1601516,143.73848
2018-09-24,140.9020082,143.63474
2018-09-21,140.8457788,143.87692
2018-09-20,140.4496202,143.83339
2018-09-19,140.3090466,143.78195
2018-09-18,140.240039,143.71306
2018-09-17,140.2502627,143.60573
2018-09-14,140.6540886,143.85431
2018-09-13,140.5441861,143.81035
2018-09-12,140.329494,143.75807
2018-09-11,140.1480275,143.68744
2018-09-10,140.383167,143.57632
2018-09-07,140.817666,143.83162
2018-09-06,140.3806106,143.78725
2018-09-05,139.9588937,143.73409
2018-09-04,140.4623984,143.6616
2018-08-31,140.4342856,143.80888
2018-08-30,141.0809202,143.76404
2018-08-29,144.2962045,143.70998
2018-08-28,144.1096252,143.63556
2018-08-27,144.4112179,143.51633
2018-08-24,144.4112179,143.78607
2018-08-23,143.680239,143.74077
2018-08-22,144.0661759,143.68575
2018-08-21,143.8463709,143.60928
2018-08-20,144.0891778,143.48567
2018-08-17,144.1658527,143.7632
2018-08-16,144.6003536,143.71739
2018-08-15,144.1760783,143.66136
2018-08-14,145.1626441,143.58276
2018-08-13,145.0118487,143.45456
2018-08-10,145.0118487,143.74028
2018-08-09,144.1172925,143.69395
2018-08-08,144.2680898,143.63686
2018-08-07,144.1888585,143.556
2018-08-06,144.4265525,143.42299
2018-08-03,144.8968315,143.71727
2018-08-02,144.3294282,143.67041
2018-08-01,144.0303939,143.61221
2018-07-31,144.3549884,143.529
2018-07-30,143.7057973,143.3909
2018-07-27,145.6482577,143.69421
2018-07-26,147.7159552,143.64679
2018-07-25,148.8916567,143.58742
2018-07-24,148.3344791,143.50172
2018-07-23,148.9069913,143.35829
2018-07-20,149.1421308,143.67108
2018-07-19,149.2648154,143.62305
2018-07-18,149.5127311,143.56247
2018-07-17,149.4641729,143.47417
2018-07-16,148.9376605,143.32513
2018-07-13,149.4616145,143.64787
2018-07-12,149.4309453,143.59923
2018-07-11,148.6922992,143.53737
2018-07-10,148.3012515,143.44632
2018-07-09,148.4162649,143.29141
2018-07-06,148.5338366,143.6246
2018-07-05,148.0558863,143.57532
2018-07-03,147.5447124,143.41817
2018-07-02,148.1197831,143.2571
3.360521433,,
