date,test_value,predicted_value
2018-09-28,107.6884485,89.51626
2018-09-27,107.3871717,89.33555
2018-09-26,106.0816254,89.14353
2018-09-25,106.057995,88.93975
2018-09-24,104.7229096,88.72376
2018-09-21,103.6772926,89.2702
2018-09-20,103.8131615,89.09036
2018-09-19,103.8840526,88.89932
2018-09-18,105.4199891,88.69663
2018-09-17,105.2663941,88.481895
2018-09-14,106.5542188,89.02495
2018-09-13,106.3061069,88.846016
2018-09-12,105.5972145,88.65599
2018-09-11,104.7110967,88.45446
2018-09-10,105.0773559,88.24101
2018-09-07,103.7009185,88.78058
2018-09-06,103.393733,88.602615
2018-09-05,102.5194281,88.413666
2018-09-04,104.0317389,88.213326
2018-08-31,102.6612102,88.537186
2018-08-30,102.2417817,88.360214
2018-08-29,101.9227787,88.172386
2018-08-28,100.9834915,87.97331
2018-08-27,100.6231366,87.76263
2018-08-24,100.6703973,88.29484
2018-08-23,99.70157554,88.11893
2018-08-22,99.09310872,87.932274
2018-08-21,98.4373812,87.734505
2018-08-20,98.47873318,87.525276
2018-08-17,98.37239887,88.053665
2018-08-16,98.42556377,87.87882
2018-08-15,98.20699094,87.69338
2018-08-14,98.28378619,87.49698
2018-08-13,97.35631642,87.28926
2018-08-10,97.65759773,87.8137
2018-08-09,97.22044755,87.64001
2018-08-08,96.33432977,87.455826
2018-08-07,96.34023398,87.26081
2018-08-06,96.67695855,87.054665
2018-08-03,96.67695855,87.575035
2018-08-02,96.75375831,87.40253
2018-08-01,91.34253022,87.219666
2018-07-31,90.34417166,87.0261
2018-07-30,90.26737416,86.82155
2018-07-27,92.05733136,87.337776
2018-07-26,93.68778934,87.16648
2018-07-25,93.60508538,86.98497
2018-07-24,92.61263328,86.79291
2018-07-23,93.48102943,86.59001
2018-07-20,93.33925184,87.10199
2018-07-19,93.02615311,86.93195
2018-07-18,92.64807655,86.75182
2018-07-17,92.72487631,86.56131
2018-07-16,92.30544776,86.3601
2018-07-13,92.50039025,86.86774
2018-07-12,92.89619295,86.699005
2018-07-11,91.96872319,86.52031
2018-07-10,91.82103689,86.331375
2018-07-09,91.44295582,86.13191
2018-07-06,91.56110756,86.6351
2018-07-05,91.183031,86.467705
2018-07-03,90.74587857,86.10318
2018-07-02,90.94673203,85.905495
11.5651747,,
