date,test_value,predicted_value
2018-09-28,49.65889432,49.955814
2018-09-27,49.51725006,49.955353
2018-09-26,49.49916778,49.954887
2018-09-25,49.52026365,49.954422
2018-09-24,49.62072058,49.95394
2018-09-21,49.59560635,49.953358
2018-09-20,49.64985318,49.95289
2018-09-19,49.54437348,49.95242
2018-09-18,49.53935032,49.951942
2018-09-17,49.47103958,49.951454
2018-09-14,49.48309469,49.95086
2018-09-13,49.48610827,49.950382
2018-09-12,49.4218159,49.9499
2018-09-11,49.4218159,49.949425
2018-09-10,49.55944179,49.948933
2018-09-07,49.57451048,49.94832
2018-09-06,49.65588035,49.94784
2018-09-05,49.70209083,49.947357
2018-09-04,49.72620028,49.94687
2018-08-31,49.77341517,49.945744
2018-08-30,49.75432849,49.94526
2018-08-29,49.80556135,49.944767
2018-08-28,49.78747908,49.944275
2018-08-27,49.76537843,49.943775
2018-08-24,49.69606328,49.94313
2018-08-23,49.62775253,49.942635
2018-08-22,49.63478449,49.942142
2018-08-21,49.69204491,49.94164
2018-08-20,49.57953325,49.941135
2018-08-17,49.63980726,49.940475
2018-08-16,49.64683921,49.93998
2018-08-15,49.67597182,49.939476
2018-08-14,49.74227338,49.93897
2018-08-13,49.77542435,49.938457
2018-08-10,49.81560689,49.937786
2018-08-09,49.94519643,49.937283
2018-08-08,49.92711415,49.93677
2018-08-07,49.90099552,49.93626
2018-08-06,49.86081259,49.93574
2018-08-03,49.89396356,49.935055
2018-08-02,49.87889487,49.934547
2018-08-01,49.81158891,49.934032
2018-07-31,49.74026419,49.933514
2018-07-30,49.69907687,49.932987
2018-07-27,49.69807247,49.932285
2018-07-26,50.14811948,49.93177
2018-07-25,50.1752429,49.93125
2018-07-24,50.15012867,49.93073
2018-07-23,50.16318818,49.9302
2018-07-20,50.12300525,49.92948
2018-07-19,50.13003721,49.92896
2018-07-18,50.10391857,49.928436
2018-07-17,50.10693216,49.927902
2018-07-16,50.13305079,49.927364
2018-07-13,50.15414704,49.92664
2018-07-12,50.16720616,49.92611
2018-07-11,50.05168092,49.92558
2018-07-10,50.14811948,49.92504
2018-07-09,50.11798248,49.924496
2018-07-06,50.06875841,49.923756
2018-07-05,50.00647522,49.923225
2018-07-03,49.87789047,49.922142
2018-07-02,49.95122399,49.921593
0.275355024,,
