date,test_value,predicted_value
2018-09-28,286.2002468,284.35486
2018-09-27,283.786841,284.3293
2018-09-26,283.7017905,284.30365
2018-09-25,283.9658105,284.27783
2018-09-24,283.4856114,284.25183
2018-09-21,283.0869209,284.17307
2018-09-20,283.5883826,284.14703
2018-09-19,284.5984007,284.12085
2018-09-18,284.4282889,284.09448
2018-09-17,284.9439293,284.06793
2018-09-14,285.3869188,283.98862
2018-09-13,284.4849928,283.96207
2018-09-12,283.9286009,283.93533
2018-09-11,284.7436972,283.90845
2018-09-10,285.0856892,283.88138
2018-09-07,284.5771327,283.80148
2018-09-06,284.7295239,283.77438
2018-09-05,285.7395421,283.74707
2018-09-04,286.6751356,283.71964
2018-08-31,286.1400009,283.61157
2018-08-30,285.6314498,283.58392
2018-08-29,285.7519417,283.55606
2018-08-28,285.0236696,283.52808
2018-08-27,285.2930052,283.49988
2018-08-24,284.640926,283.4189
2018-08-23,283.6876118,283.3907
2018-08-22,282.9752867,283.3623
2018-08-21,281.2919267,283.3337
2018-08-20,280.3208918,283.30493
2018-08-17,279.7857625,283.22345
2018-08-16,282.0219725,283.19467
2018-08-15,282.3125707,283.16568
2018-08-14,282.7289819,283.1365
2018-08-13,281.7880727,283.10718
2018-08-10,281.552402,283.02518
2018-08-09,281.8483186,282.99582
2018-08-08,282.1956263,282.96622
2018-08-07,281.9351482,282.93646
2018-08-06,281.4177342,282.9065
2018-08-03,281.0757476,282.82404
2018-08-02,280.8134959,282.79407
2018-08-01,280.0781344,282.7639
2018-07-31,279.7928491,282.73352
2018-07-30,279.6634969,282.70294
2018-07-27,281.0615716,282.62003
2018-07-26,281.5612623,282.58942
2018-07-25,281.0349906,282.55862
2018-07-24,280.475054,282.52765
2018-07-23,280.5990905,282.49646
2018-07-20,280.8613395,282.4131
2018-07-19,281.0633426,282.38187
2018-07-18,281.0048677,282.35046
2018-07-17,281.3574882,282.31882
2018-07-16,280.3846824,282.287
2018-07-13,280.5831435,282.2032
2018-07-12,280.9215854,282.17133
2018-07-11,280.2659615,282.13928
2018-07-10,281.2795217,282.10706
2018-07-09,280.5707385,282.07455
2018-07-06,280.2305229,281.99036
2018-07-05,279.4154212,281.95786
2018-07-03,278.3717381,281.89224
2018-07-02,279.328597,281.8591
1.689975903,,
