date,test_value,predicted_value
2018-09-28,114.836703,113.86975
2018-09-27,114.836703,113.84333
2018-09-26,114.7243277,113.816895
2018-09-25,114.8640094,113.79045
2018-09-24,115.1003126,113.764
2018-09-21,115.1265686,113.845634
2018-09-20,114.9627311,113.81922
2018-09-19,114.8451051,113.79279
2018-09-18,114.586747,113.76636
2018-09-17,114.4596677,113.73991
2018-09-14,114.6340073,113.821526
2018-09-13,114.6718159,113.79511
2018-09-12,114.5478879,113.7687
2018-09-11,114.7064739,113.742256
2018-09-10,114.9448773,113.71582
2018-09-07,114.9595805,113.79743
2018-09-06,115.214788,113.77101
2018-09-05,115.2399935,113.7446
2018-09-04,115.3880773,113.71817
2018-08-31,115.373374,113.773315
2018-08-30,115.3922783,113.74692
2018-08-29,115.6957966,113.7205
2018-08-28,115.6485355,113.69408
2018-08-27,115.6726913,113.66765
2018-08-24,115.5036031,113.74921
2018-08-23,115.373374,113.72282
2018-08-22,115.3513191,113.6964
2018-08-21,115.279903,113.66998
2018-08-20,115.019444,113.64357
2018-08-17,115.0835085,113.72511
2018-08-16,115.058303,113.698715
2018-08-15,115.0793074,113.67232
2018-08-14,115.1570247,113.64591
2018-08-13,115.1150159,113.6195
2018-08-10,115.1307688,113.70101
2018-08-09,115.5771194,113.67462
2018-08-08,115.7682632,113.64823
2018-08-07,115.7262536,113.621826
2018-08-06,115.4479407,113.59542
2018-08-03,115.4195839,113.67691
2018-08-02,115.3534192,113.650536
2018-08-01,115.2263407,113.62415
2018-07-31,115.2599483,113.59775
2018-07-30,115.216889,113.57136
2018-07-27,115.3943784,113.652824
2018-07-26,115.4678955,113.62645
2018-07-25,115.4594934,113.60007
2018-07-24,115.5204073,113.573685
2018-07-23,115.6117774,113.547295
2018-07-20,115.6464354,113.62873
2018-07-19,115.6033753,113.60237
2018-07-18,115.7178515,113.576
2018-07-17,115.7304546,113.549614
2018-07-16,115.6002247,113.52323
2018-07-13,115.6611386,113.60465
2018-07-12,115.7346549,113.578285
2018-07-11,115.3061589,113.55193
2018-07-10,115.5130557,113.525566
2018-07-09,115.3408161,113.49918
2018-07-06,115.4059311,113.58057
2018-07-05,115.279903,113.554214
2018-07-03,115.0068416,113.5015
2018-07-02,115.1465225,113.47514
1.625303445,,
